Mule Deer,Odocoileus hemionus,9-22 yrs,"North America,  South America","Canada, Mexico, United States",Stable,Least concern (LC)
American Mink,Neovison vison,10 yrs,North America,"Canada, United States",Stable,Least concern (LC)
Jaguarundi,Puma yagouaroundi,15 yrs,"South America, North America","Argentina, Belize, Bolivia, Brazil, Colombia, Costa Rica,  Ecuador, El Salvador, Guatemala, Guyana,",Decreasing,Least concern (LC)
Bighorn Sheep,Ovis canadensis,9-14 yrs,North America,"Canada, Mexico, United States",Stable,Least concern (LC)
Spectacled Bear,Tremarctos ornatus,20-36 yrs,South America,"Bolivia, Colombia, Ecuador, Peru, Venezuela",Decreasing,Vulnerable (VU)
Guanaco,Lama guanicoe,20-25 yrs,South America,"Argentina, Bolivia, Chile, Paraguay, Peru",Increasing,Least concern (LC)
Mountain Goat,Oreamnos americanus,12-20 yrs,North America,"Canada, United States",Stable,Least concern (LC)
Black Rat,Rattus rattus,1-4 yrs,"Asia, Europe, Africa, Oceania, North America","India, Pakistan",Stable,Least concern (LC)
Striped Hyena,Hyaena hyaena,10-25 yrs,"Asia, Africa  South Asia, North Africa, Sub-Saharan Africa, Western Asia, Central Asia","Egypt, Ethiopia, Georgia, Iran, Iraq, Israel, Jordan, Kenya, Lebanon, Libya, Mali, Mauritania, Morocco, Niger, Nigeria, Oman, Pakistan, Saudi Arabia,  Senegal, Syria, Tajikistan, Tanzania, Tunisia, Turkey, Turkmenistan, Uganda, Uzbekistan, Western Sahara, Yemen, Benin, Central African Republic, Eritrea, Guinea, Kuwait, Qatar, Somalia, Sudan, United Arab Emirates",Decreasing,Near Threatened (NT)
Asiatic Black Bear,Ursus thibetanus,25 yrs,Asia,"Bangladesh, Bhutan, Cambodia, China, India, Iran, Japan, North Korea, South Korea, Laos,",Decreasing,Vulnerable (VU)
Przewalski's Horse,Equus ferus,20-25 yrs,Asia,"China, Mongolia  Palearctic",Increasing,Endangered (EN)
Chamois,Rupicapra rupicapra,15-22 yrs,"Europe, Asia","Albania, Austria, Azerbaijan, Bosnia and Herzegovina, Bulgaria, Federated States of Micronesia, France, Georgia, Germany, Greece,",Stable,Least concern (LC)
Roe Deer,Capreolus capreolus,10-12 yrs,"Europe, Asia, North America","Albania, Andorra, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia,",Increasing,Least concern (LC)
Springbok,Antidorcas marsupialis,10 yrs,Africa,"Angola, Botswana,  Namibia, South Africa",Increasing,Least concern (LC)
Sumatran Rhinoceros,Dicerorhinus sumatrensis,35-40 yrs,Asia,"Indonesia,  Malaysia, Myanmar",Decreasing,Critically endangered (CR)
Saiga Antelope,Saiga tatarica,10-12 yrs,"Europe, Asia","Kazakhstan,  Mongolia, Russia, Uzbekistan, Turkmenistan",Decreasing,Critically endangered (CR)
Aardwolf,Proteles cristata,8-20 yrs,Africa,"Angola, Botswana, Egypt, Eritrea, Swaziland, Ethiopia, Kenya, Mozambique, Namibia, Somalia,",Stable,Least concern (LC)
Indian Giant Squirrel,Ratufa indica,20 yrs,Asia,India,Decreasing,Least concern (LC)
Red Kangaroo,Macropus rufus,16-23 yrs,Oceania,Australia,Stable,Least concern (LC)
Gray Fox,Urocyon cinereoargenteus,6-8 yrs,"North America, South America","Belize, Canada, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama,",Stable,Least concern (LC)
Eastern Fox Squirrel,Sciurus niger,13-18 yrs,North America,"Canada, United States",Stable,Least concern (LC)
European Badger,Meles meles,6-16 yrs,"Europe, Asia, Africa","Albania,  Armenia, Austria, Azerbaijan, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark,",Stable,Least concern (LC)
Fin Whale,Balaenoptera physalus,80-90 yrs,"Africa, Antarctica, South America, Oceania,   Europe, North America, Asia","Algeria, Angola, Argentina, Australia, Belgium, Brazil, Canada, Cape Verde, Chile, China,",Increasing,Endangered (EN)
Least Weasel,Mustela nivalis,1-10 yrs,"Asia, Europe, North America, Africa, Oceania","Albania, Andorra, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Canada,",Stable,Least concern (LC)
American Marten,Martes americana,12-17 yrs,North America,"Canada, United States",Decreasing,Least concern (LC)
Leopard Cat,Prionailurus bengalensis,4-20 yrs,Asia,"Bangladesh, Bhutan, Brunei, Cambodia, China, Hong Kong, India, Indonesia, Japan,  North Korea,",Stable,Least concern (LC)
Wildcat,Felis silvestris,15 years,"Asia, Europe, Africa","Albania, Algeria, Andorra, Angola, Armenia, Austria, Azerbaijan, Belarus, Belgium, Benin,",Decreasing,Least concern (LC)
Proboscis Monkey,Nasalis larvatus,13-23 yrs,Asia,Indomalayan,Decreasing,Endangered (EN)
Giant Otter,Pteronura brasiliensis,8-19 yrs,South America,"Bolivia, Brazil, Colombia, Ecuador,  Guyana, Paraguay, Peru, Suriname, Venezuela",Decreasing,Endangered (EN)
Japanese Macaque,Macaca fuscata,6.3-32 yrs,"Asia, North America",Japan,Stable,Least concern (LC)
Common Brushtail Possum,Trichosurus vulpecula,13-15 yrs,Oceania,Australia,Decreasing,Least concern (LC)
European Polecat,Mustela putorius,6-14 yrs,"Europe, Asia, Africa","Albania, Andorra, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark,",Decreasing,Least concern (LC)
European Hare,Lepus europaeus,12 yrs,"Europe, Asia, North America","Albania, Austria, Belarus, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czech Republic, Denmark, Estonia,",Decreasing,Least concern (LC)
Gray Whale,Eschrichtius robustus,80 yrs,"North America, Asia","Canada, Mexico, Russia, United States, China, Japan, North Korea, South Korea",Stable,Least concern (LC)
Sika Deer,Cervus nippon,12-25 yrs,"Asia, North America","China, Japan, Russia, North Korea, Viet Nam, Taiwan",Increasing,Least concern (LC)
Iberian Lynx,Lynx pardinus,13 yrs,Europe,"Spain, Portugal",Increasing,Endangered (EN)
Javan Rhinoceros,Rhinoceros sondaicus,30-45 yrs,Asia,Indonesia,Stable,Critically endangered (CR)
Alpine Ibex,Capra ibex,10-21 yrs,Europe,"Italy, Austria, France, Germany, Switzerland",Stable,Least concern (LC)
Golden Jackal,Canis aureus,8-16 yrs,"Asia, Europe, Africa","Albania, Algeria, Bahrain, Bhutan, Bosnia and Herzegovina, Bulgaria, Central African Republic, Croatia, Djibouti, Egypt,",Increasing,Least concern (LC)
Ring-Tailed Lemur,Lemur catta,15-33 yrs,Africa,Madagascar,Decreasing,Endangered (EN)
Bornean Orangutan,Pongo pygmaeus,45-60 yrs,Asia,"Indonesia, Malaysia",Decreasing,Critically endangered (CR)
American Beaver,Castor canadensis,10-20 yrs,"North America, South America, Europe, Asia","Canada, Mexico, United States",Stable,Least concern (LC)
Black-Footed Ferret,Mustela nigripes,3-9 yrs,North America,United States,Decreasing,Endangered (EN)
Baiji,Lipotes vexillifer,24 yrs,Asia,China,Decreasing,Critically endangered (CR)
Giant Anteater,Myrmecophaga tridactyla,25 yrs,"South America, North America","Argentina, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, Guyana, Honduras, Nicaragua, Panama,",Decreasing,Vulnerable (VU)
European Rabbit,Oryctolagus cuniculus,9 yrs,"Europe, Africa, North America","France, Portugal, Spain",Decreasing,Endangered (EN)
Jungle Cat,Felis chaus,15 yrs,"Asia, Africa","Armenia, Azerbaijan, Bangladesh, Bhutan, Cambodia, China, Egypt, Georgia, India, Iran,",Decreasing,Least concern (LC)
Pygmy Hippo,Choeropsis liberiensis,30-50 yrs,Africa,"Cote d'Ivoire, Guinea, Liberia, Sierra Leone",Decreasing,Endangered (EN)
Water Deer,Hydropotes inermis,12 yrs,"Asia, Europe","China, North Korea, South Korea",Decreasing,Vulnerable (VU)
Ethiopian Wolf,Canis simensis,8-10 yrs,Africa,Ethiopia,Decreasing,Endangered (EN)
American Red Squirrel,Tamiasciurus hudsonicus,5-10 yrs,North America,"Canada, United States",Stable,Least concern (LC)
Fishing Cat,Prionailurus viverrinus,12 yrs,Asia,"Bangladesh, Cambodia, India,  Myanmar, Nepal, Pakistan, Sri Lanka, Thailand",Decreasing,Vulnerable (VU)
Rock Hyrax,Procavia capensis,12 yrs,"Africa, Asia","Algeria, Angola, Benin, Botswana, Burkina Faso, Cameroon, Central African Republic, Chad, DR Congo, Cote d'Ivoire,",Stable,Least concern (LC)
Vervet Monkey,Chlorocebus pygerythrus,12-24 yrs,Africa,"Botswana, Burundi, Ethiopia, Kenya, Malawi, Mozambique, Rwanda, Somalia, South Africa, Swaziland,",Decreasing,Least concern (LC)
Arabian Oryx,Oryx leucoryx,20 yrs,"Africa, Asia","Egypt, Iraq, Jordan, Kuwait, Syria, United Arab Emirates,  Yemen",Stable,Vulnerable (VU)
Asian Wild Water Buffalo,Bubalus arnee,12-25 yrs,Asia,"Bhutan, Cambodia, India,  Myanmar, Nepal, Thailand, Viet Nam",Decreasing,Endangered (EN)
South Asian River Dolphin,Platanista gangetica,28 yrs,Asia,"Bangladesh, India, Nepal, Pakistan, Bhutan",Decreasing,Endangered (EN)
Margay,Leopardus wiedii,10-20 yrs,"South America, North America","Argentina, Belize, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Guyana,",Decreasing,Near Threatened (NT)
Plains Zebra,Equus quagga,9-40 yrs,Africa,"Angola, Botswana, DR Congo, Ethiopia, Kenya, Malawi, Mozambique, Namibia, Rwanda, South Africa,",Stable,Near Threatened (NT)
Long-Tailed Macaque,Macaca fascicularis,15-30 yrs,"Asia, Africa, Oceania","Bangladesh, Brunei, Cambodia, India, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore,",Decreasing,Least concern (LC)
Sambar,Rusa unicolor,20-26 yrs,"Asia, Oceania, Africa, North America","Bangladesh,  Bhutan, Brunei, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar,",Decreasing,Vulnerable (VU)
Western Gorilla,Gorilla gorilla,35-50 yrs,Africa,"Angola, Cameroon, Central African Republic, Congo, Equatorial Guinea, Gabon, Nigeria",Decreasing,Critically endangered (CR)
Syrian Hamster,Mesocricetus auratus,2-4 yrs,Asia,"Syria, Turkey",Decreasing,Vulnerable (VU)
Nine-Banded Armadillo,Dasypus novemcinctus,7-8 years,"South America, North America","Argentina, Belize, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, El Salvador, Grenada, Guatemala,",Stable,Least concern (LC)
Numbat,Myrmecobius fasciatus,5-6 yrs,Oceania,Australia,Decreasing,Endangered (EN)
Onager,Equus hemionus,14-26 yrs,Asia,"China, India, Iran, Mongolia, Turkmenistan, Israel, Kazakhstan, Uzbekistan",Stable,Near Threatened (NT)
Saola,Pseudoryx nghetinhensis,8-10 yrs,Asia,"Laos, Viet Nam",Decreasing,Critically endangered (CR)
North American Porcupine,Erethizon dorsatum,18 yrs,North America,"Canada, Mexico, United States  Nearctic",Stable,Least concern (LC)
Bush Dog,Speothos venaticus,10 yrs,"South America, North America","Bolivia, Brazil, Colombia, Ecuador, Guyana, Panama, Paraguay, Peru,  Suriname, Venezuela",Decreasing,Near Threatened (NT)
Sumatran Orangutan,Pongo abelii,35-50 yrs,Asia,Indonesia,Decreasing,Critically endangered (CR)
Wild Bactrian Camel,Camelus ferus,40 yrs,Asia,"China, Mongolia",Decreasing,Critically endangered (CR)
Common Eland,Taurotragus oryx,15-25 yrs,Africa,"Angola, Botswana, DR Congo, Ethiopia, Kenya, Lesotho, Malawi, Mozambique, Namibia, Rwanda,",Stable,Least concern (LC)
Eastern Gorilla,Gorilla beringei,30-60 yrs,Africa,"Rwanda, Uganda, DR Congo",Decreasing,Critically endangered (CR)
